product_name,product_price, product_availability, product_rating,product_reviews
"Computer Wired Keyboard, Plug Play USB Full-Size Keyboard with Large Number Pad, Caps Indicators, Foldable Stands, for Windows 7/8/10 PC Laptop (Purple Colorful)","{'value': 29.99, 'currency': '$'}",In Stock,1017,TRUE
"AULA 99 Keys Mechanical Keyboard, Tri-Mode BT5.0/2.4GHz/USB-C Hot Swappable Custom Gaming Keyboard, Pre-lubed Linear Switches Gasket Structure Creamy Keyboard with Number Pad RGB for PC Xbox PS5 MAC","{'value': 84.99, 'currency': '$'}",In Stock  Only 2 left in stock - order soon.,12,TRUE
"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Gaming Mouse, Value Combo Set [New Version]","{'value': 39.99, 'currency': '$'}",In Stock,45999,TRUE
"75% Mechanical Gaming Keyboard, LED Backlit Wired Mechanical Keyboard with 3 Stage Adjustable Feet, Linear Red Switch with Sound Absorbing Foams, Compatible with Win/MAC/iOS, White Keyboard","{'value': 22.99, 'currency': '$'}",In Stock,78,TRUE
"Lovaky MK98 Wireless Keyboard, 2.4G Ergonomic, Computer Keyboard, Enlarged Indicator Light, Full Size PC Keyboard with Numeric Keypad for Laptop, Desktop, Surface, Chromebook, Notebook, Black","{'value': 18.99, 'currency': '$'}",In Stock  Only 5 left in stock - order soon.,2786,TRUE
"Amazon Basics Rechargeable Wireless Keyboard and Mouse Combo - Ultra Slim, Quiet Full Size Keyboard with Number Pad, QWERTY, 2 Count (Pack of 1), Black","{'value': 29.99, 'currency': '$'}",In Stock,504,TRUE
"Wireless Keyboard and Mouse Combo, Lovaky 2.4G Full-Sized Ergonomic Keyboard Mouse, 3 DPI Adjustable Cordless USB Keyboard and Mouse, Quiet Click for Computer/Laptop/Windows/Mac (1 Pack, Black)","{'value': 22.99, 'currency': '$'}",In Stock  Only 1 left in stock - order soon.,7347,TRUE
"Logitech K270 Wireless Keyboard for Windows, 2.4 GHz Wireless, Full-Size, Number Pad, 8 Multimedia Keys, 2-Year Battery Life, Compatible with PC, Laptop, Black","{'value': 24.95, 'currency': '$'}",In Stock  In Stock,7982,TRUE
"ARZOPA 75% Mechanical Gaming Keyboard Wired, Rainbow Backlit 81 Keys Gasket Mount PC Gaming Keyboard, Compact Mechanical Keyboard, One Knob Volume Control, Sound Absorbing Pads, Linear Red Switch-K81","{'value': 79.99, 'currency': '$'}",In Stock  In Stock,60,TRUE
"Rii RK100+ Multiple Color Rainbow LED Backlit Large Size USB Wired Mechanical Feeling Multimedia PC Gaming Keyboard,Office Keyboard for Working or Primer Gaming,Office Device","{'value': 14.99, 'currency': '$'}",In Stock,6846,TRUE
